# MACSJ0416 photometric redshifts
# M0416cl_A.cat IDs cross matched wth M0416cl_ZPHOT.cat
# ID RA[deg] DEC[deg] ZBEST ZBEST_SIG ZPHOTFLAG
1 64.044334 -24.095366 0.61 0.04 0
2 64.04792 -24.097454 1.0181 0.0235 0
3 64.046043 -24.099012 4.8962 2.0 0
4 64.047379 -24.098417 7.095051 0.205 0
5 64.043785 -24.098063 5.1635 0.075 0
6 64.044464 -24.097807 0.6605 0.0159 0
7 64.044876 -24.097586 3.6158 0.03 0
8 64.045265 -24.097679 0.866 0.26195 0
9 64.046173 -24.097597 2.2175 0.02 0
10 64.046303 -24.097542 1.1975 0.0275 0
11 64.044014 -24.097139 1.57 0.0201 0
12 64.046829 -24.097153 0.078 0.04 0
13 64.047569 -24.097076 5.69735 0.0305 0
14 64.046104 -24.097065 1.074 0.0208 0
15 64.043808 -24.097265 7.06005 0.02405 0
16 64.046638 -24.097282 1.6925 1.3887 0
17 64.048477 -24.095379 0.3047 0.0795 0
18 64.045105 -24.096306 2.57205 0.04 0
19 64.043747 -24.094011 0.4389 0.0 1
20 64.046028 -24.096972 0.5675 0.0355 0
21 64.043282 -24.096764 0.7665 0.01765 0
22 64.044708 -24.095901 2.2665 0.0667 0
23 64.039452 -24.096571 1.6445 0.12 0
24 64.037834 -24.093794 0.393 0.0 1
25 64.046043 -24.096258 2.35375 0.04 0
26 64.043266 -24.096142 2.594999 0.073 0
27 64.038597 -24.09474 1.61565 0.06 0
28 64.043365 -24.095852 4.295 0.01845 0
29 64.03994 -24.095926 1.4746 0.1 0
30 64.046707 -24.095842 1.9627 1.4965 0
31 64.038795 -24.095886 0.01 0.02 0
32 64.039429 -24.094923 0.679 0.0425 0
33 64.044975 -24.095387 1.037 0.39 0
34 64.045738 -24.095837 2.274 0.02735 0
35 64.041527 -24.095823 0.86915 2.438 0
36 64.041206 -24.095818 2.4595 0.02795 0
37 64.044746 -24.095163 2.00645 1.0275 0
38 64.045128 -24.095711 3.1955 0.04215 0
39 64.046463 -24.095652 0.621 0.0745 0
40 64.041855 -24.095371 0.279 0.0334 0
41 64.040382 -24.095594 2.3315 0.1 0
42 64.037476 -24.095484 0.5829 0.044 0
43 64.037872 -24.09519 1.75 0.0695 0
44 64.040276 -24.095407 0.669 0.102 0
45 64.041023 -24.095463 4.15725 0.048 0
46 64.047028 -24.095062 1.045 0.0371 0
47 64.042816 -24.095406 0.2779 1.495 0
48 64.043045 -24.095291 4.8095 0.02 0
49 64.045876 -24.094765 2.6445 0.22 0
50 64.040138 -24.095333 1.1765 0.0635 0
51 64.044914 -24.09482 1.074 0.01995 0
52 64.046478 -24.095039 0.8375 0.0215 0
53 64.042984 -24.09498 0.934 1.5092 0
54 64.042526 -24.094244 0.26 0.039 0
55 64.038086 -24.094982 0.6325 0.02615 0
56 64.037041 -24.09487 2.191499 0.1665 0
57 64.04319 -24.094124 0.2375 0.03125 0
58 64.04715 -24.094769 0.672 0.075 0
59 64.036591 -24.094851 2.258999 0.109 0
60 64.045532 -24.094744 3.39025 0.027 0
61 64.035477 -24.09481 9.585999 3.589 0
62 64.04216 -24.094696 3.044999 2.1995 0
63 64.034531 -24.094704 9.987494 0.053499 0
64 64.022018 -24.089027 0.3944 0.0 1
65 64.046745 -24.094591 2.36825 1.21 0
66 64.044075 -24.094318 0.214 0.0263 0
67 64.041069 -24.094397 0.321 0.0046 0
68 64.045135 -24.093821 3.2125 0.09295 0
69 64.035957 -24.094341 4.889 0.074001 0
70 64.039932 -24.094339 3.5423 0.006 0
71 64.037201 -24.093752 1.0745 0.01 0
72 64.041565 -24.094168 2.284 0.0561 0
73 64.046059 -24.094246 6.0655 0.06945 0
74 64.035408 -24.094007 2.44 0.15355 0
75 64.046997 -24.09367 2.156 0.1489 0
76 64.034515 -24.094076 6.875051 0.120501 0
77 64.035904 -24.09403 2.9985 0.229 0
78 64.034576 -24.093817 2.0856 0.0875 0
79 64.038933 -24.094 0.635 1.464 0
80 64.047974 -24.093769 1.6578 0.045 0
81 64.039207 -24.093927 2.37565 0.0585 0
82 64.045006 -24.093922 3.314 0.0135 0
83 64.046158 -24.093903 0.705 0.094 0
84 64.045403 -24.093733 0.939 1.87205 0
85 64.040298 -24.093681 0.612 1.6315 0
86 64.039787 -24.093809 0.304 1.18345 0
87 64.046402 -24.092972 0.2725 0.02415 0
88 64.041306 -24.093607 0.502 0.0029 0
